perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.8336,0.671875,0.9218984944743503
1,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.9595,0.5460205,0.7492100228531557
2,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1553.167,0.33850098,0.4644666651848426
3,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.7935,0.71203613,0.9770047089878063
4,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.7767,0.72875977,0.9999516736940174
5,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1553.2875,0.21801758,0.2991480216444749
6,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.7797,0.7258301,0.9959317674681119
7,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.9973,0.5081787,0.6972862341018751
8,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1553.0897,0.41577148,0.5704916918931027
9,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1553.0326,0.4729004,0.6488798632982619
10,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1553.1427,0.36279297,0.49779838764130985
11,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.8698,0.6357422,0.8723196510215147
12,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.9431,0.5623779,0.7716544992811287
13,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.8506,0.6549072,0.8986165375826471
14,2,9,0.7287949855944724,True,-1555.942366,-1553.5055,-1552.8726,0.6329346,0.8684672408883551
