perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.271,0.003540039,0.030569428779969057
1,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2666,0.00793457,0.06851768519648237
2,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2657,0.0087890625,0.07589651283302662
3,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.3752,-0.10070801,0.86964754287843
4,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2733,0.0012207031,0.010541182337920363
5,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2869,-0.012329102,0.10646594161299568
6,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2667,0.0078125,0.06746356696269033
7,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2565,0.018066406,0.15600949860122137
8,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2925,-0.017944336,0.15495538036742934
9,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.284,-0.009521484,0.08222122223577884
10,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.273,0.0015869141,0.013703537039296474
11,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2745,0.0,0.0
12,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.267,0.0075683594,0.06535533049510625
13,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.3319,-0.057373047,0.4954355698822571
14,3,2,0.11580324539199922,True,-1556.299794,-1553.2745,-1553.2701,0.0043945312,0.03794825641651331
