perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.501,0.0045166016,0.03949012530836333
1,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4586,0.046875,0.40984346265977073
2,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4922,0.013305664,0.11633577455707034
3,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.5059,-0.00036621094,0.003201902052029459
4,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4989,0.006591797,0.05763423693653026
5,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4843,0.021240234,0.18571031901770862
6,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4989,0.006591797,0.05763423693653026
7,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4838,0.021728516,0.18997952175374788
8,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4977,0.0078125,0.06830724377662846
9,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4586,0.046875,0.40984346265977073
10,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4977,0.0078125,0.06830724377662846
11,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4586,0.046875,0.40984346265977073
12,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4586,0.046875,0.40984346265977073
13,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.4993,0.006225586,0.0544323348845008
14,1,2,0.11437293569548289,True,-1555.942366,-1553.5055,-1553.5059,-0.00036621094,0.003201902052029459
