model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,cv_mse_mean,cv_mse_std,overfitting_gap,training_time
svr_rbf,0.8976841059638443,0.939688164188867,0.9227617621038825,0.6949457287593822,0.0901312992095287,0.21041546465804914,8.498783748541737,2.028048680904434,-0.04200405822502273,5.278181076049805
svr_linear,-3.604123301688586e+24,-3.7066661806843786e+24,5476686205545.578,5448053375914.494,5463873817133.337,5429890774546.65,2.1302682650293493e+32,2.4992077980758445e+32,1.0254287899579256e+23,0.813676118850708
kernel_ridge,0.9358803039012747,-27037.97567264084,0.7304891431016012,465.31251512043605,0.5420906852980745,140.07368791828588,191298.89592921932,44742.7127562614,27038.91155294474,1.2513740062713623
knn,1.0,0.795050251771905,0.0,1.2810713260927236,0.0,0.7698319198685715,1.9824431312968247,0.5482041891079308,0.20494974822809497,0.5359716415405273
