perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3138,0.22131348,0.5859871931266741
1,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3832,0.15197754,0.4024015749821893
2,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3098,0.2253418,0.5966532589695756
3,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3492,0.18591309,0.49225509935572237
4,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.2947,0.24047852,0.6367318094095686
5,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.1799,0.3552246,0.9405530788740328
6,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.4502,0.08496094,0.22495702505028414
7,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.4739,0.061279297,0.16225348645868196
8,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.2917,0.2434082,0.644488948204406
9,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.4628,0.072387695,0.1916659710557737
10,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3411,0.1940918,0.5139104451579767
11,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.4773,0.057861328,0.15320349119803833
12,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.3394,0.19580078,0.5184354427882986
13,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.523,0.012207031,0.03232141164515577
14,2,5,0.37767630275608804,True,-1555.942377,-1553.5352,-1553.4526,0.08251953,0.218492742721253
