perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3878,-0.07910156,0.20708974958697848
1,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4188,-0.11010742,0.2882638180979238
2,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4348,-0.12609863,0.3301291841409703
3,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3933,-0.08459473,0.22147098219718533
4,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4304,-0.1217041,0.31862419805280484
5,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.5997,-0.29101562,0.7618857453940691
6,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4387,-0.13000488,0.34035583844156186
7,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3799,-0.07116699,0.18631685803890194
8,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4,-0.091308594,0.23904804427632703
9,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4496,-0.14086914,0.3687987207150821
10,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4159,-0.107177734,0.2805938273724801
11,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.563,-0.25427246,0.6656912783791299
12,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3955,-0.08679199,0.22722347524126807
13,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3604,-0.051635742,0.13518358653594428
14,3,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4733,-0.16455078,0.4307978124124182
