model,train_r2,test_r2,train_rmse,test_rmse,cv_mean,cv_std
linear,0.8133505644830088,0.7772420994170272,1.2463252059486651,1.3355685204043617,0.7900366515773646,0.0257635786914802
ridge,0.8133505643122511,0.7772424316030637,1.2463252065187707,1.3355675245757568,0.7898047012450027,0.0258671215710565
lasso,0.8131102676852262,0.7789133843553131,1.2471272218380391,1.3305489048314385,0.7911511511800781,0.02691747293251395
elastic_net,0.8130629909725069,0.7787397020327264,1.2472849521381786,1.3310714318407932,0.790916102745017,0.026705549799824473
