Model,Train R²,Test R²,CV R² Mean,CV R² Std,Train RMSE,Test RMSE,CV RMSE Mean,Train MAE,Test MAE,CV MAE Mean,Residual Mean,Residual Std,Normality p-value
Svr_Linear,0.8148,0.7847,0.7761,0.0323,1.2416,1.3131,1.3378,0.9283,0.9483,0.9243,0.0314,1.3127,0.0000
Linear,0.8189,0.7915,0.7978,0.0227,1.2276,1.2922,1.2675,0.9389,0.9492,0.9652,0.0047,1.2922,0.0000
Ridge,0.8188,0.7918,0.7977,0.0226,1.2279,1.2913,1.2679,0.9400,0.9506,0.9661,0.0043,1.2913,0.0000
Lasso,0.8188,0.7929,0.7982,0.0235,1.2281,1.2877,1.2663,0.9388,0.9469,0.9644,0.0042,1.2877,0.0000
Elastic_Net,0.8187,0.7930,0.7978,0.0234,1.2285,1.2875,1.2675,0.9393,0.9475,0.9651,0.0040,1.2875,0.0000
