perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3918,-0.06921387,0.18116522916229466
1,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.423,-0.1003418,0.2626416549760251
2,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4404,-0.11779785,0.30833235651078367
3,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.442,-0.119384766,0.3124860566503072
4,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4009,-0.07824707,0.20480936841804387
5,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.6106,-0.28796387,0.7537368176258432
6,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4227,-0.100097656,0.26200262418532916
7,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4019,-0.07922363,0.2073654915808276
8,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.428,-0.10534668,0.27574178618529155
9,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4141,-0.091430664,0.23931703111562383
10,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.5178,-0.19519043,0.5109051171613919
11,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4939,-0.17126465,0.4482800996731912
12,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.2471,0.07556152,0.19778002972038872
13,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4526,-0.13000488,0.3402838960455799
14,3,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4995,-0.17687988,0.46297780785919745
