perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.343,-0.034301758,0.08980280807706938
1,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.4005,-0.091796875,0.24032637606390098
2,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.386,-0.07727051,0.2022960053835762
3,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.374,-0.06530762,0.17097687658801464
4,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.348,-0.03930664,0.10290570889970227
5,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.537,-0.22827148,0.5976201106908176
6,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3536,-0.044921875,0.1176065244568026
7,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3646,-0.055908203,0.1463689896772163
8,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3826,-0.07385254,0.19334768287055862
9,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3749,-0.06616211,0.17321395721626903
10,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3663,-0.057617188,0.15084315093372508
11,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.5239,-0.21520996,0.5634247353732146
12,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.3647,-0.056030273,0.14668857262410975
13,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.328,-0.01928711,0.050494105609170684
14,2,5,0.38196754140540906,True,-1555.3964318920828,-1553.3087,-1553.5059,-0.19714355,0.5161264592329788
