comparison,model1,model2,model1_mae,model2_mae,model1_r2,model2_r2,t_pvalue,wilcoxon_pvalue,significant_difference
elastic_net_vs_svr_rbf_conservative,elastic_net,svr_rbf_conservative,0.6581812974805291,0.6258866978944888,0.9026990264245082,0.8899178629319555,0.4446229673311871,0.06905594506883098,False
elastic_net_vs_svr_linear,elastic_net,svr_linear,0.6581812974805291,0.6304221988822201,0.9026990264245082,0.9081392154805228,0.05672762619458944,0.09057429706101913,False
elastic_net_vs_knn_stable,elastic_net,knn_stable,0.6581812974805291,0.7687662234406776,0.9026990264245082,0.8406490708150012,0.08358045869610232,0.2626642361482193,False
svr_rbf_conservative_vs_svr_linear,svr_rbf_conservative,svr_linear,0.6258866978944888,0.6304221988822201,0.8899178629319555,0.9081392154805228,0.9135068385563179,0.14718064971550615,False
svr_rbf_conservative_vs_knn_stable,svr_rbf_conservative,knn_stable,0.6258866978944888,0.7687662234406776,0.8899178629319555,0.8406490708150012,0.005751154303129484,0.005163862256098618,True
svr_linear_vs_knn_stable,svr_linear,knn_stable,0.6304221988822201,0.7687662234406776,0.9081392154805228,0.8406490708150012,0.03775511340036877,0.21284012223578275,True
