structure_index,avg_residual,actual_energy,svr_rbf_conservative_residual
101,2.543369691920816e-05,-1549.479695,2.543369691920816e-05
21,0.004050985876347113,-1551.621529,0.004050985876347113
163,0.006752374172947384,-1554.18361,0.006752374172947384
142,0.009229846064044978,-1555.721965,0.009229846064044978
95,0.015550668186051553,-1555.881308,0.015550668186051553
126,0.03241846908485968,-1552.277642,0.03241846908485968
39,0.03530633298532848,-1550.159756,0.03530633298532848
22,0.04003822637446319,-1551.880711,0.04003822637446319
182,0.042446120789918496,-1555.915122,0.042446120789918496
154,0.04285847962364642,-1551.790458,0.04285847962364642
