model_name,description,status,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,cv_r2_mean,cv_r2_std,overfitting_gap,n_features_used,feature_selection,best_params
elastic_net,Linear regression with L1+L2 regularization,✅ GOOD,0.921441171787995,0.9026990264245082,0.8061226404437991,0.8937094790013742,0.5860242856503193,0.6581812974805291,0.627593368426154,0.03427522786194279,0.01874214536348684,45,,"{'model__alpha': 0.1, 'model__l1_ratio': 0.1}"
svr_rbf_conservative,Support Vector Regression with RBF kernel,✅ GOOD,0.9735774958022925,0.8899178629319555,0.4675096805747571,0.9505964704062828,0.2818938251308625,0.6258866978944888,0.7888353552155796,0.04899947955124423,0.08365963287033695,25,25.0,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 0.01}"
svr_linear,Support Vector Regression with linear kernel,✅ GOOD,0.9280321266112752,0.9081392154805228,0.7715657752537963,0.8683660713102478,0.5746138849083562,0.6304221988822201,0.9045512326606735,0.023235518409532193,0.019892911130752422,45,,"{'model__C': 0.1, 'model__epsilon': 1.0}"
knn_stable,K-Nearest Neighbors Regression,⚠️ OVERFITTING,1.0,0.8406490708150012,0.0,1.143707769701342,0.0,0.7687662234406776,0.7966551610436672,0.026048271666632365,0.15935092918499882,15,15.0,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance'}"
