perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0753,0.02319336,0.06105119268167824
1,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.1403,-0.041748047,0.10989214682702084
2,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0464,0.052124023,0.13720452250040321
3,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0594,0.0390625,0.10282306135861599
4,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0026,0.095947266,0.25255914446210054
5,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0978,0.0007324219,0.0019279324004740498
6,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0432,0.05529785,0.14555889623579074
7,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.1267,-0.028198242,0.07422539741825092
8,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.034,0.064453125,0.16965805124171637
9,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0674,0.03112793,0.08193712702014712
10,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.1323,-0.033813477,0.08900621248855196
11,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.0721,0.026367188,0.06940556641706579
12,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1552.9907,0.107788086,0.28372738493643096
13,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1552.9545,0.14404297,0.37916003875989646
14,2,5,0.3799001846848512,True,-1555.3877150445703,-1553.0985,-1553.1094,-0.010864258,0.02859766394036507
