perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4739,0.061279297,0.16225528596252625
1,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4396,0.095581055,0.2530794599774065
2,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.3234,0.21179199,0.5607827114441893
3,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4739,0.061279297,0.16225528596252625
4,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4739,0.061279297,0.16225528596252625
5,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.488,0.04711914,0.1247620326325401
6,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4929,0.042236328,0.11183332458771729
7,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4802,0.05493164,0.1454479655042566
8,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4835,0.051635742,0.1367210875740012
9,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4696,0.06555176,0.1735679055017462
10,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4835,0.051635742,0.1367210875740012
11,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4419,0.09326172,0.24693832365611565
12,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.3105,0.22460938,0.5947205700618492
13,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.4502,0.08496094,0.22495951997991687
14,1,5,0.3776721141100623,True,-1555.942374,-1553.5352,-1553.3196,0.21557617,0.570802460178927
