perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5281,0.011108398,0.09713083604156207
1,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5388,0.00036621094,0.0032021154738976505
2,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5281,0.011108398,0.09713083604156207
3,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5388,0.00036621094,0.0032021154738976505
4,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5281,0.011108398,0.09713083604156207
5,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.4731,0.06604004,0.5774481571262097
6,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5319,0.0073242188,0.06404230947795302
7,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.4634,0.075805664,0.6628379030968137
8,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5103,0.028930664,0.2529671224379144
9,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5284,0.0107421875,0.09392872056766442
10,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5035,0.03564453,0.31167257279270466
11,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5284,0.0107421875,0.09392872056766442
12,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5388,0.00036621094,0.0032021154738976505
13,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.5284,0.0107421875,0.09392872056766442
14,1,2,0.11436531270817787,True,-1555.942373,-1553.5392,-1553.535,0.0041503906,0.036290642037506704
