perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1306,0.064819336,0.5646190498823769
1,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1948,0.00061035156,0.005316563558214471
2,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.0615,0.13391113,1.1664540446722549
3,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.2048,-0.009399414,0.08187507879650285
4,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.2133,-0.017822266,0.15524365589986255
5,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1954,0.0,0.0
6,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1766,0.018798828,0.1637501575930057
7,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.0331,0.16235352,1.4142059064850494
8,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1853,0.010131836,0.08825495506636022
9,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1887,0.006713867,0.05848219914035918
10,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1891,0.0063476562,0.0552922610054305
11,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.2064,-0.010986328,0.09569814404786048
12,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1802,0.015258789,0.13291408895536178
13,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.0765,0.118896484,1.035666581140179
14,3,2,0.11480189333144775,True,-1555.517765910345,-1553.1954,-1553.1895,0.0059814453,0.052102322870501816
