perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1577,0.037719727,0.051562905108026046
1,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.056,0.1394043,0.1905658175837079
2,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1552.9342,0.26123047,0.35710232016561727
3,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1552.9398,0.25561523,0.3494262889844872
4,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1339,0.061523438,0.08410260250629491
5,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1415,0.053955078,0.07375664743607609
6,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1552.9224,0.2730713,0.3732887337432177
7,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.4974,-0.30200195,0.41283698135034447
8,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.0924,0.103027344,0.14083848514943037
9,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1487,0.04675293,0.0639113030950614
10,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1858,0.009643555,0.01318274920237559
11,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.0651,0.1303711,0.17821741959667253
12,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.0664,0.12902832,0.17638184692292405
13,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1553.1106,0.08483887,0.11597481893229158
14,1,9,0.7315283435538763,True,-1555.517765910345,-1553.1954,-1552.8867,0.30871582,0.42201484471908696
