perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.8875,0.029541016,0.07804244045119534
1,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9325,-0.01550293,0.04095615676570995
2,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.6394,0.2775879,0.7333409487025545
3,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.989,-0.072021484,0.19026875977770763
4,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.7557,0.16125488,0.4260085282480539
5,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9321,-0.015136719,0.03998868849565381
6,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.763,0.15405273,0.4069816522702831
7,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9254,-0.008422852,0.02225177021129123
8,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.6622,0.25476074,0.6730354265357218
9,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9524,-0.03540039,0.09352193277209359
10,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.641,0.27600098,0.7291485861989779
11,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.938,-0.020996094,0.05546818081655206
12,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9111,0.005859375,0.015479492320898248
13,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.9602,-0.04321289,0.11416125586662458
14,2,5,0.37852501093265767,True,-1557.20946,-1552.917,-1552.7719,0.1451416,0.3834399243655837
