iter	RMSE
917	0.003501171273
918	0.003477564235
919	0.003456850592
920	0.003449085197
921	0.00342096866
922	0.003399551216
923	0.003373061878
924	0.003345999787
925	0.00332433838
926	0.003302913419
927	0.003282106937
928	0.003264276707
929	0.003248473835
930	0.003224900228
931	0.003203136673
932	0.00319870087
933	0.003194915965
934	0.003183123399
935	0.003158294778
936	0.003136182457
937	0.003112364535
938	0.003094457988
939	0.003081701436
940	0.003061342705
941	0.003040978966
942	0.003021906504
943	0.003001167066
944	0.002979544218
945	0.00297464881
946	0.002960460259
947	0.002938331519
948	0.002924827483
949	0.002904221218
950	0.002881510899
951	0.002866251426
952	0.002853325072
953	0.002830126173
954	0.002814500193
955	0.002791834456
956	0.002772065399
957	0.002752860115
958	0.002735794912
959	0.002712992178
960	0.002692005561
961	0.00267500711
962	0.002650731229
963	0.002630812772
964	0.002615843424
965	0.002597573669
966	0.002585834815
967	0.002568816187
968	0.002551849986
969	0.002532819634
970	0.002520432515
971	0.002502302479
972	0.002481762664
973	0.002468006417
974	0.00245394921
975	0.002436301405
976	0.002419724589
977	0.002400603235
978	0.002394545035
979	0.002377419545
980	0.002358140341
981	0.002340850467
982	0.002324965049
983	0.002308757941
984	0.002300399843
985	0.00228948889
986	0.002274800177
987	0.002265218149
988	0.002247668931
989	0.002232643026
990	0.002219274956
991	0.002213926995
992	0.002197385277
993	0.002183853184
994	0.002168096388
995	0.002156563636
996	0.002141879957
997	0.002128776827
998	0.002114367329
999	0.002101424261
