perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.1422,0.38916016,0.5339987978789659
1,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.3307,0.2006836,0.2753745369237829
2,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1552.9015,0.6298828,0.8643142399797564
3,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.3606,0.17077637,0.23433636080071304
4,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.1171,0.41430664,0.5685043663742817
5,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.3475,0.18383789,0.25225915608711497
6,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.2891,0.24230957,0.3324929779767086
7,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.4794,0.052001953,0.07135617562623571
8,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.339,0.19238281,0.2639843492651349
9,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.1578,0.37353516,0.5125584446391579
10,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.3632,0.16821289,0.23081880284730705
11,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.195,0.33642578,0.4616376056946141
12,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.2723,0.2590332,0.3554408560536905
13,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.1552,0.3762207,0.5162435053522499
14,1,9,0.7287659781178114,True,-1555.942376,-1553.5314,-1553.2389,0.29248047,0.4013366122076544
