model_name,description,status,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,cv_r2_mean,cv_r2_std,overfitting_gap,n_features_used,feature_selection,best_params
ridge_regression,Linear regression with L2 regularization,✅ GOOD,0.9999997527277497,0.9999995070432004,0.0014301820103647704,0.002011602663966328,0.0010855953752302134,0.0012530960187916661,0.9999655329186311,9.933772298046623e-06,2.456845492604387e-07,46,,{'model__alpha': 0.1}
elastic_net,Linear regression with L1+L2 regularization,✅ GOOD,0.9983285340717303,0.9983273483744967,0.11758512479362063,0.11717649948847894,0.08766014649861235,0.08998720871925571,0.8281873324035066,0.009208708227863932,1.185697233618832e-06,46,,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9}"
svr_rbf_conservative,Support Vector Regression with RBF kernel,✅ GOOD,0.9964268704527475,0.9911192147953055,0.17192063296549712,0.2699998074352568,0.06921256529209144,0.10414708035312628,0.8263745248390265,0.08175981897986988,0.0053076556574419564,25,25.0,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 0.01}"
svr_linear,Support Vector Regression with linear kernel,✅ GOOD,0.9997132108722152,0.9994368497840207,0.04870628009042098,0.06799076048935333,0.03933873376769989,0.04387301310404951,0.9995856856375258,8.447503583063977e-05,0.00027636108819451,46,,"{'model__C': 1, 'model__epsilon': 0.1}"
kernel_ridge_rbf,Kernel Ridge Regression with RBF kernel,❌ FAILED,-34.58802893001395,-37.676324000395155,17.157562429357423,17.818057916161212,8.896309124832118,9.681001386791806,-4783.266668888342,1232.1950566671474,3.088295070381207,20,20.0,"{'model__alpha': 1, 'model__gamma': 0.001}"
kernel_ridge_linear,Kernel Ridge Regression with linear kernel,❌ FAILED,-290913.04618891067,-293156.55107577494,1551.264899101317,1551.273286754367,1551.2648458410497,1551.2732214597752,-295960.01817334356,36820.44251293541,2243.504886864277,46,,{'model__alpha': 100}
knn_stable,K-Nearest Neighbors Regression,✅ GOOD,1.0,0.9131993662510346,0.0,0.8441103383719549,0.0,0.5611055421183915,0.8386776057849842,0.04944343984743615,0.0868006337489654,15,15.0,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance'}"
