perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3511,-0.028442383,0.07444708711607523
1,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3723,-0.049682617,0.1300427659066207
2,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4199,-0.09729004,0.25465377009232604
3,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3718,-0.049194336,0.12876470432522882
4,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3676,-0.044921875,0.11758166548805016
5,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.5576,-0.23498535,0.6150671360448275
6,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3893,-0.06665039,0.17445540585998745
7,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4102,-0.087524414,0.22909253846448902
8,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3962,-0.0736084,0.19266778339482132
9,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3639,-0.041259766,0.10799620362761128
10,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3828,-0.060180664,0.15752108990654545
11,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.5363,-0.21362305,0.5591519418589341
12,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.2378,0.08483887,0.22206319976683386
13,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.3777,-0.05505371,0.14410144330193103
14,2,5,0.3820482965055927,True,-1555.4057911442187,-1553.3226,-1553.4882,-0.16552734,0.433262876091837
