perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.6248,0.79589844,1.086103382891305
1,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.2992,1.12146,1.5303729721813526
2,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1551.78,1.640625,2.2388388751624446
3,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.5135,0.9071045,1.2378580120038782
4,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.6323,0.7883301,1.0757754059374305
5,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.853,0.56762695,0.7745982715405779
6,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.717,0.7036133,0.9601686961634174
7,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1553.0623,0.35839844,0.48907968284798636
8,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1553.0226,0.3980713,0.5432182717191021
9,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.2943,1.1263428,1.537036183119336
10,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.5355,0.88513184,1.2078735627829527
11,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.4421,0.9785156,1.3353074719718865
12,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.6981,0.7225342,0.9859886385481034
13,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.198,1.2226562,1.6684680188710599
14,3,9,0.7328017295934083,True,-1555.4137508962986,-1553.4207,-1552.2008,1.2198486,1.6646366725817194
