perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.906,0.57177734,0.7845787699130238
1,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.12,0.3577881,0.4909479877487346
2,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.0911,0.38671875,0.5306459314868616
3,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.174,0.303833,0.4169121601864894
4,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.792,0.685791,0.9410255186531529
5,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.5437,0.93408203,1.281724326937331
6,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.347,0.1307373,0.17939450524697875
7,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.2169,0.26086426,0.35795150113239366
8,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.9485,0.5292969,0.7262881183481792
9,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.7883,0.6894531,0.946050574822536
10,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.136,0.34179688,0.4690052424757615
11,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.8129,0.664917,0.9123826984876688
12,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1553.2283,0.24951172,0.34237382700730584
13,2,9,0.7287698388950616,False,-1555.942367,-1553.4778,-1553.286,0.19177246,0.2631454414033647
14,2,9,0.7287698388950616,True,-1555.942367,-1553.4778,-1552.8276,0.6501465,0.8921149719378234
