perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3525,0.068115234,0.17935768428348028
1,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1552.921,0.4996338,1.3156111142872489
2,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1552.9338,0.4868164,1.2818610124059489
3,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1552.9279,0.49279785,1.2976110599505555
4,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.472,-0.0513916,0.13532183706692688
5,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3296,0.09106445,0.23978643812809372
6,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.2682,0.15246582,0.4014654976166073
7,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3435,0.07714844,0.20314347037125366
8,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3489,0.071777344,0.1890005705352803
9,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3439,0.07678223,0.20217918174607366
10,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.4987,-0.07800293,0.20539347716334033
11,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.3636,0.057006836,0.15010759598635356
12,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.2589,0.16174316,0.42589414278783405
13,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1553.23,0.19067383,0.5020729441770542
14,3,5,0.37977315913235027,True,-1555.4137508962986,-1553.4207,-1552.8822,0.53845215,1.417825708556329
